country,country_name,fishing_hours_2012,fishing_hours_2016,fishing_days_2012,fishing_days_2016,diff_12_16,direction,avg_tonnage,fished_hours_2016,fished_days_2016,fished_avg_tonnage,diff_in_out_16,balance,gdp,list_status
NOR,Norway,157204.63,194898.29,47853,85843,37990,right,886.98,200745.17,88015,1251.42,-5846.88,giving,70890,both
IRL,Ireland,15896.37,96392.09,3737,28625,24888,right,218.73,327705.63,77978,492.75,-231313.54,giving,64100,both
USA,United States,5996.3,73023.4,1522,29055,27533,right,792.53,11964.38,4163,1569.44,61059.02,taking,57589,fishing
DNK,Denmark,58194.07,129065.52,19599,53807,34208,right,452.53,82828.81,30423,313.88,46236.71,taking,53579,fishing
FRO,Faroe Islands,27403.92,63403.67,6450,23941,17491,right,1140.63,41940.47,16204,2597.61,21463.2,taking,50582,fishing
TWN,Taiwan,55149.56,550964.46,11167,177158,165991,right,384.89,87834.73,21712,129.44,463129.73,taking,50300,fishing
NLD,Netherlands,29892.39,194792.55,8605,70620,62015,right,1231.78,58420.13,21050,328.29,136372.42,taking,45638,fishing
DEU,Germany,27979.46,62924.94,8423,23571,15148,right,1479.24,115291.4,42437,230.2,-52366.46,giving,42233,both
BEL,Belgium,20722.87,117060.35,6302,40456,34154,right,266.79,41635.85,15842,233.05,75424.49,taking,41261,fishing
GBR,United Kingdom,47064.35,171780.16,9749,59311,49562,right,453.84,616976.85,227658,602.46,-445196.69,giving,40412,both
JPN,Japan,112618.62,211992.48,52001,109533,57532,right,591.28,99450.93,28692,1370.89,112541.55,taking,38972,both
FRA,France,189278.32,517662.39,43342,177687,134345,right,339.09,149151.45,45764,361.61,368510.94,taking,36870,both
ITA,Italy,42894.78,297581.47,13540,100680,87140,right,128.92,9671.84,2871,129.02,287909.63,taking,30669,fishing
KOR,"Korea, Rep.",458793.76,360659.99,201415,131791,-69624,left,717.26,20347.28,5217,293.94,340312.7,taking,27608,fishing
ESP,Spain,207465.15,528298.86,57253,187176,129923,right,508.92,48521.48,19716,208.02,479777.38,taking,26617,fishing
PRT,Portugal,8537.15,43674.52,4142,19950,15808,right,414.75,81438.18,44423,186.49,-37763.67,giving,19872,fishing
SYC,Seychelles,0,3814.48,0,820,820,right,361.2,87897.34,30622,483.09,-84082.86,giving,15078,fished
ARG,Argentina,26541.11,13490.21,5711,4815,-896,left,929.8,156447.51,61005,668.85,-142957.29,giving,12654,fished
HRV,Croatia,0,2951.42,0,906,906,right,149.71,110140.62,46807,82.09,-107189.2,giving,12371,fished
MUS,Mauritius,0,6906.96,0,3038,3038,right,110.73,101859.53,25496,159.66,-94952.56,giving,9682,fished
RUS,Russian Federation,298324.15,308588.51,95455,131308,35853,right,1882.42,86729.19,30969,2434.31,221859.32,taking,8759,fishing
CHN,China,24245.27,1004173.79,5797,320749,314952,right,534.65,32979.5,7869,119.41,971194.29,taking,8117,fishing
MHL,Marshall Islands,3136.74,8433.22,1304,3263,1959,right,1367.37,120575.35,70193,219.12,-112142.13,giving,3665,fished
TUV,Tuvalu,0,0,0,0,0,right,0,103942.77,39063,616.05,-103942.77,giving,3296,fished
FSM,"Micronesia, Fed. Sts.",156.59,39213.34,94,21053,20959,right,466.12,106857.17,39338,607.85,-67643.83,giving,3144,fished
VUT,Vanuatu,4245.65,96922.35,1702,34786,33084,right,306.34,203265.5,55050,206.09,-106343.15,giving,2914,both
MAR,Morocco,11380.87,44114.66,3424,20515,17091,right,898.19,82890.03,34800,95.13,-38775.37,giving,2893,fishing
PNG,Papua New Guinea,0,22896.66,0,8093,8093,right,1498.53,125957.71,63946,725.21,-103061.05,giving,2354,fished
SLB,Solomon Islands,0,2051.65,0,827,827,right,1424.13,220933.75,58556,306.35,-218882.1,giving,2056,fished
KIR,Kiribati,3800.45,11919.64,2000,4037,2037,right,794.15,466556.03,177482,614.33,-454636.39,giving,1559,fished
GNB,Guinea-Bissau,0,0,0,0,0,right,0,135708.93,37411,987.51,-135708.93,giving,649,fished
MDG,Madagascar,0,0,0,0,0,right,0,121566.38,42990,183.4,-121566.38,giving,402,fished